"topic","sourceName","src","seriesName","ser","defaultSeries","defaultClass","infoURL","defaultVer"
"Paleogeography","Code, used data and supplementary items for the articled Increase in marine provinciality over the last 250 million years governed more by climate change than plate tectonics","SOM-kocsis-provinciality","S6. Interpolated  temperature  reconstructions  based  on  the  HadCM3L  climate  models  and  the PaleoMAP Paleocoastlines","sstinter",TRUE,"RasterArray","https://chronosphere.info/data/SOM-kocsis-provinciality/ssinter/","v1.0"
"Traits","Repository for: Reddin et al. 2020. Marine clade sensitivities to climate change conform across time scales","SOM-reddin-sensitivity","Modern metaanalysis support data","modern",TRUE,"data.frame","https://chronosphere.info/data/SOM-reddin-sensitivity/modern/","Version 1"
"Paleogeography","The PALEOMAP project","paleomap","PaleoMAP Paleodigital Elevation Models","dem",TRUE,"RasterArray","https://chronosphere.info/data/paleomap/dem/","20180801"
"Paleogeography","The PALEOMAP project","paleomap","Plate tectonic reconstruction","model",FALSE,"platemodel","https://chronosphere.info/data/paleomap/model/","v19o_r1c"
"Organism distribution","The Paleobiology Database","pbdb","Basic denormalized occurrence table","occs",FALSE,"data.frame","https://chronosphere.info/data/pbdb/occs/","20200907"
"Geography","Natural Earth","NaturalEarth","Land polygons including major islands","land",TRUE,"sf","https://chronosphere.info/data/NaturalEarth/land/","4.1.0"
"Organism distribution","The Paleobiology Database","pbdb","Basic denormalized occurrence table with references","occs2",FALSE,"data.frame","https://chronosphere.info/data/pbdb/occs2/","20210517"
"Organism distribution","The Paleobiology Database","pbdb","Basic denormalized occurrence table with references, updated with abundance data","occs3",TRUE,"data.frame","https://chronosphere.info/data/pbdb/occs3/","20231208"
"Traits","Coral Trait Database","CoralTraitDB","Trait data","data",TRUE,"data.frame","https://chronosphere.info/data/CoralTraitDB/data/","1.1.1"
"Traits","Coral Trait Database","CoralTraitDB","Utilized resources","resources",FALSE,"data.frame","https://chronosphere.info/data/CoralTraitDB/resources/","1.1.1"
"Bioregionalization","Marine Ecoregions of the World","MEOW","A Bioregionalization of Coastal and Shelf Areas","vector",TRUE,"sf","https://chronosphere.info/data/MEOW/vector/","20070701"
"Organism distribution","BioDeepTime","biodeeptime","Denormalized biogeographic observations","denormalized",TRUE,"data.frame","https://chronosphere.info/data/biodeeptime/denormalized/","1.0"
"Organism distribution","Triton Database","triton","Full version, with duplicates","full",TRUE,"data.frame","https://chronosphere.info/data/triton/full/","3"
"Organism distribution","Triton Database","triton","No-rounding","no-rounding",FALSE,"data.frame","https://chronosphere.info/data/triton/no-rounding/","1"
"Organism distribution","Triton Database","triton","As in publication","main",FALSE,"data.frame","https://chronosphere.info/data/triton/main/","3"
"Paleogeography","The continent fragmentation results of Zaffos et al. 2017","SOM-zaffos-fragmentation","Continent fragmentation index","fragment",TRUE,"data.frame","https://chronosphere.info/data/SOM-zaffos-fragmentation/fragment/","20170424"
"Bioregionalization","Biodiversity Hotspots (sensu Myers)","myers-hotspots","Both hotspot areas and outer limits","all",FALSE,"sf","https://chronosphere.info/data/myers-hotspots/all/","2016.1"
"Bioregionalization","Biodiversity Hotspots (sensu Myers)","myers-hotspots","Outer limits","outer",FALSE,"sf","https://chronosphere.info/data/myers-hotspots/outer/","2016.1"
"Bioregionalization","Biodiversity Hotspots (sensu Myers)","myers-hotspots","Hotspot areas (all)","areas",TRUE,"sf","https://chronosphere.info/data/myers-hotspots/areas/","2016.1"
"Paleogeography","The PALEOMAP project","paleomap","Paleomap Paleocoastlines","paleocoastlines",FALSE,"SfcArray","https://chronosphere.info/data/paleomap/paleocoastlines/","7"
"Traits","List of scleractinian genera in the Paleobiology Database and their inferred symbiotic mode","SOM-kiessling-coralgenera","The list of coral genera","list",TRUE,"data.frame","https://chronosphere.info/data/SOM-kiessling-coralgenera/list/","0.54"
"Geography","A high-resolution climate simulation dataset for the past 540 million years","SOM-Li-PhanerozoicClimate","Monthly climate layers (Temperature, Precipitation, Surface Albedo, U and V Wind)","monthly",TRUE,"RasterArray","https://chronosphere.info/data/SOM-Li-PhanerozoicClimate/monthly/","v1"
"Organism distribution","BioDeepTime","biodeeptime","SQLite Relational Database","rdb",FALSE,"SQLiteConnection","https://chronosphere.info/data/biodeeptime/rdb/","1.0"
"Paleogeography","GPlates: Building a virtual Earth through deep time","GPlates","Plate model for 'Extending Full-Plate Tectonic Models into Deep Time: Linking the Neoproterozoic and the Phanerozoic'","MERDITH2021",TRUE,"platemodel","https://chronosphere.info/data/EarthByte/MERDITH2021/","1.1"
"Paleogeography","The PALEOMAP project","paleomap","Global Mean Surface Temperature","gmst",FALSE,"RasterArray","https://chronosphere.info/data/paleomap/gmst/","scotese02a_v21321"
"Organism distribution","BioDeepTime","biodeeptime","Bchron ages for records from the Neotoma Paleoecology Database","neotoma-bchron",FALSE,"data.frame","https://chronosphere.info/data/biodeeptime/neotoma-bchron/","1.0"
"Paleogeography","The PALEOMAP project","paleomap","Areas calculated from the PaleoMAP paleocoastline reconstructions.","areas",FALSE,"data.frame","https://chronosphere.info/data/paleomap/areas/","7"
"Organism distribution","Neptune Sandbox Berlin","neptune","Relational Database (sqlite)","sqlite",TRUE,"SQLiteConnection","https://chronosphere.info/data/neptune/sqlite/","2023-06-05"
"Organism distribution","Neptune Sandbox Berlin","neptune","Denormalized occurrence table","occs",FALSE,"data.frame","https://chronosphere.info/data/neptune/occs/","2023-06-05"
"Organism distribution","Neptune Sandbox Berlin","neptune","Filtered denormalized occurrence table","filtered",FALSE,"data.frame","https://chronosphere.info/data/neptune/filtered/","2023-06-05"
"Organism distribution","Neptune Sandbox Berlin","neptune","Denormalized age models table","agemodels",FALSE,"data.frame","https://chronosphere.info/data/neptune/agemodels/","2023-06-05"
"Traits","Ancient Reef Traits Database","AncientReefTraits","Denormalized Trait Data","traits",TRUE,"data.frame","https://chronosphere.info/data/AncientReefTraits/traits/","1.04"
"Traits","Ancient Reef Traits Database","AncientReefTraits","Reference list","refs",FALSE,"data.frame","https://chronosphere.info/data/AncientReefTraits/refs/","1.04"
"Paleogeography","The PALEOMAP project","paleomap","PALEOMAP PaleoAtlas for GPlates","paleoatlas",FALSE,"RasterArray","www.chronosphere.info/data/paleomap/paleoatlas/","v3"
"Organism distribution","Foraminifera Response to Climatic Stress","forcis","Trap","trap",FALSE,"data.frame","https://chronosphere.info/data/forcis/trap/","v4"
"Organism distribution","Foraminifera Response to Climatic Stress","forcis","Pump","pump",FALSE,"data.frame","https://chronosphere.info/data/forcis/pump/","v5"
"Organism distribution","Foraminifera Response to Climatic Stress","forcis","Net","net",FALSE,"data.frame","https://chronosphere.info/data/forcis/pump/","v5"
"Organism distribution","Foraminifera Response to Climatic Stress","forcis","CPR North","cpr_north",FALSE,"data.frame","https://chronosphere.info/data/forcis/cpr_north/","v5"
"Organism distribution","Foraminifera Response to Climatic Stress","forcis","CPR South","cpr_south",TRUE,"data.frame","https://chronosphere.info/data/forcis/cpr_south/","v5"
